country_code,pincode,state_original,major_city,latitude,longitude,region,coastal_city,distance_to_state_capital,city_tier,is_metro_city,is_smart_city,is_state_capital,is_union_territory_capital,literacy_rate,median_age_estimate,consumer_price_index,income_bucket,has_airport,has_international_airport,has_metro_rail,has_seaport,major_railway_station,internet_penetration_state,smartphone_penetration_state,digital_payment_index,is_it_hub,is_manufacturing_hub,is_financial_center,is_textile_hub,is_education_hub,is_tourist_city,is_coastal,district_population_numeric,district_population,sex_ratio
USA,24438,VA,Glen Wilton,37.7529,-79.8189,S,f,323.536275,T3,f,f,f,f,9.24092409240924,40.1,315.605,M,f,f,f,f,f,78.57142857142857,80.61224489795919,77.14285714285714,f,f,f,f,f,f,f,34004,VS,1346.3687150837989
USA,24463,VA,Mint Spring,38.1797,-79.1413,S,f,329.169897,T3,f,f,f,f,20.82731404813079,43.6,315.605,M,f,f,f,f,f,84.25374910735539,86.1997143537253,81.37139966674602,f,f,f,f,f,f,f,25948,VS,1137.7902807656242
USA,24513,VA,Lynchburg,37.2458,-79.1335,S,f,241.453866,T3,f,f,f,f,17.80291292221878,42.2,315.605,M,f,f,f,f,f,88.65329512893982,92.83667621776505,85.45415472779369,f,f,f,f,f,f,f,55312,VS,815.3180975911056
USA,24514,VA,Lynchburg,37.4009,-79.1785,S,f,257.497387,T3,f,f,f,f,39.70588235294117,19.6,315.605,M,f,f,f,f,f,88.45519328053228,88.99598953252504,10.0,f,f,f,f,f,f,f,55312,VS,1152.5766251263053
USA,24533,VA,Clifford,37.538,-78.9463,S,f,258.571425,T3,f,f,f,f,11.267605633802818,53.4,315.605,M,f,f,f,f,f,79.38144329896907,71.64948453608247,74.3298969072165,f,f,f,f,f,f,f,16610,VS,997.5186104218361
USA,24535,VA,Cluster Springs,36.6113,-78.9455,S,f,178.720487,T3,f,f,f,f,13.235891189606171,42.6,315.605,M,f,f,f,f,f,73.66587199706584,80.04768017604988,74.98303686044379,f,f,f,f,f,f,f,33639,VS,1213.8088012139606
USA,24543,VA,Danville,36.5927,-79.411,S,f,210.659479,T3,f,f,f,f,11.777520896318691,44.3,315.605,L,f,f,f,f,f,80.7486243845931,84.9768317405155,75.04134086301767,f,f,f,f,f,f,f,42214,VS,1153.3814747951674
USA,24576,VA,Naruna,37.2458,-79.1335,S,f,241.453866,T3,f,f,f,f,17.80291292221878,42.2,315.605,M,f,f,f,f,f,88.65329512893982,92.83667621776505,85.45415472779369,f,f,f,f,f,f,f,55312,VS,815.3180975911056
USA,24608,VA,Burkes Garden,37.0982,-81.3409,S,f,388.286889,T3,f,f,f,f,6.7340067340067336,53.3,315.605,M,f,f,f,f,f,69.6551724137931,74.48275862068967,71.43103448275862,f,f,f,f,f,f,f,29420,VS,834.1463414634146
USA,24619,VA,Horsepen,37.1355,-81.5634,S,f,407.927994,T3,f,f,f,f,10.264526339588514,45.2,315.605,L,f,f,f,f,f,87.05501618122977,87.2168284789644,78.34789644012946,f,f,f,f,f,f,f,29420,VS,1012.108980827447
USA,24624,VA,Keen Mountain,37.2023,-81.9862,S,f,445.201118,T3,f,f,f,f,3.531390134529148,41.6,315.605,L,f,f,f,f,f,79.7598627787307,85.07718696397941,64.68096054888508,f,f,f,f,f,f,f,25538,VS,426.7857142857143
USA,24627,VA,Mavisdale,37.288,-82.0274,S,f,452.356497,T3,f,f,f,f,5.627538193772964,49.3,315.605,L,f,f,f,f,f,77.42299023290758,78.099173553719,61.303906836964686,f,f,f,f,f,f,f,13733,VS,1029.214850882532
